Parameter,Value,Safety_Violations,Acceptance_Rate,Avg_Latency_ms,Avg_CBF_Margin,Zeno_Blocks,CI_Lower,CI_Upper
gamma,0.05,0,0.096,1.6037144422677942,39.040416344884086,410,0.07011563164601828,0.12188436835398173
gamma,0.1,0,0.096,1.5892859163787407,39.040416344884086,410,0.07011563164601828,0.12188436835398173
gamma,0.2,0,0.096,1.5737001757297657,39.040416344884086,410,0.07011563164601828,0.12188436835398173
gamma,0.3,0,0.096,1.5845954806469622,39.040416344884086,410,0.07011563164601828,0.12188436835398173
gamma,0.5,0,0.096,1.6025798878406778,39.040416344884086,410,0.07011563164601828,0.12188436835398173
gamma,0.8,0,0.096,1.5964190691407563,39.040416344884086,410,0.07011563164601828,0.12188436835398173
gamma,1.0,0,0.096,1.620686957364589,39.040416344884086,410,0.07011563164601828,0.12188436835398173
alpha,0.01,0,0.096,1.5884608787373369,39.040416344884086,410,0.07011563164601828,0.12188436835398173
alpha,0.05,0,0.096,1.586272740469033,39.040416344884086,410,0.07011563164601828,0.12188436835398173
alpha,0.1,0,0.096,1.6216833739683811,39.040416344884086,410,0.07011563164601828,0.12188436835398173
alpha,0.2,0,0.08,1.5956751947804633,39.040416344884086,302,0.056162722794996955,0.10383727720500305
alpha,0.5,0,0.016,1.533449463807349,39.040416344884086,103,0.004975084225941489,0.027024915774058512
tau_min,100.0,0,0.096,1.5733297725685447,39.040416344884086,410,0.07011563164601828,0.12188436835398173
tau_min,250.0,0,0.096,1.5983962864483805,39.040416344884086,410,0.07011563164601828,0.12188436835398173
tau_min,500.0,0,0.096,1.5468518269457787,39.040416344884086,410,0.07011563164601828,0.12188436835398173
tau_min,750.0,0,0.096,1.6196205879544865,39.040416344884086,410,0.07011563164601828,0.12188436835398173
tau_min,1000.0,0,0.096,1.5593757738833673,39.040416344884086,410,0.07011563164601828,0.12188436835398173
tau_min,1500.0,0,0.096,1.575086646842536,39.040416344884086,410,0.07011563164601828,0.12188436835398173
